model_name,model_type,input_size,total_params,analysis,num_transformer_layers,num_normalizations,num_skip_connections,num_convolutional_layers,num_dense_layers,final_receptive_field_size,num_strides,num_max_pools,pretrain_dataset,results-imagenet,results-sketch,results-imagenetv2-matched-frequency,results-imagenet-r,results-imagenet-a
beitv2_base_patch16_224.in1k_ft_in22k_in1k,ViT,224,86387944,"{'model_type': 'ViT', 'num_layers': 15, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 12, 'num_dense_layers': 25, 'final_receptive_field_size': None, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 45123304}",12,26,0,1,25,,0.0,0.0,beitv2_base_patch16_224,86.494,49.512,77.27,65.74,61.48
beitv2_large_patch16_224.in1k_ft_in1k,ViT,224,304050152,"{'model_type': 'ViT', 'num_layers': 25, 'num_normalizations': 49, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 49, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 151558144}",24,49,0,1,49,1.0,0.0,0.0,beitv2_large_patch16_224,87.414,54.169,78.6,70.437,67.627
beitv2_large_patch16_224.in1k_ft_in22k,ViT,224,325412177,"{'model_type': 'ViT', 'num_layers': 25, 'num_normalizations': 48, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 49, 'final_receptive_field_size': None, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 218401793}",24,48,0,1,49,,0.0,0.0,beitv2_large_patch16_224,,,,,
beitv2_large_patch16_224.in1k_ft_in22k_in1k,ViT,224,304050152,"{'model_type': 'ViT', 'num_layers': 26, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 49, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 124128328}",24,26,0,1,49,0.0,0.0,0.0,beitv2_large_patch16_224,88.406,58.374,80.41,76.303,76.6
botnet26t_256.c1_in1k,CNN,256,12457712,"{'model_type': 'CNN', 'num_layers': 70, 'num_normalizations': 24, 'num_skip_connections': 6, 'num_convolutional_layers': 43, 'num_transformer_layers': 0, 'num_dense_layers': 1, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 1, 'num_parameters': 10660678}",0,24,6,43,1,0.0,0.0,1.0,botnet26t_256,79.256,25.436,67.19,36.98,11.507
caformer_b36.sail_in1k,ConvNeXt-V2,224,98753512,"{'model_type': 'ConvNeXt-V2', 'num_layers': 684, 'num_normalizations': 83, 'num_skip_connections': 0, 'num_convolutional_layers': 40, 'num_transformer_layers': 0, 'num_dense_layers': 18, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 52000000}",0,83,0,40,18,1.0,0.0,0.0,caformer_b36,85.502,42.469,75.69,53.927,48.627
caformer_b36.sail_in1k_384,ConvMixer/MLP-Mixer Hybrid with Transformer elements,384,98753512,"{'model_type': 'ConvMixer/MLP-Mixer Hybrid with Transformer elements', 'num_layers': 4, 'num_normalizations': 74, 'num_skip_connections': 0, 'num_convolutional_layers': 22, 'num_transformer_layers': 3, 'num_dense_layers': 10, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 62749208}",3,74,0,22,10,1.0,0.0,0.0,caformer_b36,86.404,42.443,77.48,55.04,62.093
caformer_b36.sail_in22k,ConvNeXtV2,224,162797905,"{'model_type': 'ConvNeXtV2', 'num_layers': 71, 'num_normalizations': 34, 'num_skip_connections': 0, 'num_convolutional_layers': 17, 'num_transformer_layers': 0, 'num_dense_layers': 8, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 215642617}",0,34,0,17,8,1.0,0.0,0.0,caformer_b36,,,,,
caformer_b36.sail_in22k_ft_in1k,ConvMixer-Transformer Hybrid,224,98753512,"{'model_type': 'ConvMixer-Transformer Hybrid', 'num_layers': 740, 'num_normalizations': 82, 'num_skip_connections': 0, 'num_convolutional_layers': 34, 'num_transformer_layers': 40, 'num_dense_layers': 8, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 74807408}",40,82,0,34,8,1.0,0.0,0.0,caformer_b36,87.44,52.782,78.92,68.323,69.453
caformer_b36.sail_in22k_ft_in1k_384,ConvNeXt/Hybrid CNN-Transformer,384,98753512,"{'model_type': 'ConvNeXt/Hybrid CNN-Transformer', 'num_layers': 4, 'num_normalizations': 63, 'num_skip_connections': 0, 'num_convolutional_layers': 15, 'num_transformer_layers': 22, 'num_dense_layers': 30, 'final_receptive_field_size': 1, 'num_strides': 4, 'num_max_pools': 0, 'num_parameters': 74677128}",22,63,0,15,30,1.0,4.0,0.0,caformer_b36,88.066,54.446,80.14,70.433,79.587
caformer_m36.sail_in1k,ConvNeXt/Hybrid CNN-Transformer,224,56204776,"{'model_type': 'ConvNeXt/Hybrid CNN-Transformer', 'num_layers': 123, 'num_normalizations': 41, 'num_skip_connections': 0, 'num_convolutional_layers': 30, 'num_transformer_layers': 34, 'num_dense_layers': 10, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 33177780}",34,41,0,30,10,1.0,0.0,0.0,caformer_m36,85.24,39.618,75.56,51.673,45.773
caformer_m36.sail_in1k_384,ConvNeXt/Hybrid CNN-Transformer,384,56204776,"{'model_type': 'ConvNeXt/Hybrid CNN-Transformer', 'num_layers': 135, 'num_normalizations': 41, 'num_skip_connections': 0, 'num_convolutional_layers': 31, 'num_transformer_layers': 0, 'num_dense_layers': 10, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 31721664}",0,41,0,31,10,1.0,0.0,0.0,caformer_m36,86.16,41.486,77.24,54.947,60.347
caformer_m36.sail_in22k,ConvMixer/MLP-Mixer hybrid,224,104243281,"{'model_type': 'ConvMixer/MLP-Mixer hybrid', 'num_layers': 4, 'num_normalizations': 48, 'num_skip_connections': 0, 'num_convolutional_layers': 34, 'num_transformer_layers': 0, 'num_dense_layers': 10, 'final_receptive_field_size': 1, 'num_strides': 4, 'num_max_pools': 0, 'num_parameters': 157217153}",0,48,0,34,10,1.0,4.0,0.0,caformer_m36,,,,,
caformer_m36.sail_in22k_ft_in1k,ConvNeXt V2,224,56204776,"{'model_type': 'ConvNeXt V2', 'num_layers': 145, 'num_normalizations': 47, 'num_skip_connections': 0, 'num_convolutional_layers': 31, 'num_transformer_layers': 0, 'num_dense_layers': 12, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 34375768}",0,47,0,31,12,0.0,0.0,0.0,caformer_m36,86.608,49.708,77.87,63.367,60.973
caformer_m36.sail_in22k_ft_in1k_384,ConvNeXt-V2,384,56204776,"{'model_type': 'ConvNeXt-V2', 'num_layers': 114, 'num_normalizations': 45, 'num_skip_connections': 0, 'num_convolutional_layers': 27, 'num_transformer_layers': 0, 'num_dense_layers': 10, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 39785688}",0,45,0,27,10,0.0,0.0,0.0,caformer_m36,87.472,51.041,79.12,65.35,73.92
caformer_s18.sail_in1k,ConvNeXt-based Hybrid,224,26341608,"{'model_type': 'ConvNeXt-based Hybrid', 'num_layers': 60, 'num_normalizations': 33, 'num_skip_connections': 4, 'num_convolutional_layers': 20, 'num_transformer_layers': 12, 'num_dense_layers': 8, 'final_receptive_field_size': 1, 'num_strides': 4, 'num_max_pools': 1, 'num_parameters': 227044368}",12,33,4,20,8,1.0,4.0,1.0,caformer_s18,83.668,36.619,72.97,48.733,33.613
caformer_s18.sail_in1k_384,ConvNeXt-like with Transformer elements,384,26341608,"{'model_type': 'ConvNeXt-like with Transformer elements', 'num_layers': 72, 'num_normalizations': 30, 'num_skip_connections': 4, 'num_convolutional_layers': 21, 'num_transformer_layers': 12, 'num_dense_layers': 6, 'final_receptive_field_size': 1, 'num_strides': 4, 'num_max_pools': 0, 'num_parameters': 25784600}",12,30,4,21,6,1.0,4.0,0.0,caformer_s18,85.036,37.678,75.23,51.303,48.907
caformer_s18.sail_in22k,ConvNeXt-like with Transformer Blocks,224,69044817,"{'model_type': 'ConvNeXt-like with Transformer Blocks', 'num_layers': 68, 'num_normalizations': 32, 'num_skip_connections': 0, 'num_convolutional_layers': 20, 'num_transformer_layers': 13, 'num_dense_layers': 13, 'final_receptive_field_size': 1, 'num_strides': 4, 'num_max_pools': 0, 'num_parameters': 66616505}",13,32,0,20,13,1.0,4.0,0.0,caformer_s18,,,,,
caformer_s18.sail_in22k_ft_in1k,ConvMLPTransformer,224,26341608,"{'model_type': 'ConvMLPTransformer', 'num_layers': 45, 'num_normalizations': 31, 'num_skip_connections': 0, 'num_convolutional_layers': 15, 'num_transformer_layers': 15, 'num_dense_layers': 8, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 1, 'num_parameters': 22743984}",15,31,0,15,8,1.0,0.0,1.0,caformer_s18,84.086,41.205,74.44,54.117,43.333
caformer_s18.sail_in22k_ft_in1k_384,ConvNeXt-based Transformer,384,26341608,"{'model_type': 'ConvNeXt-based Transformer', 'num_layers': 74, 'num_normalizations': 21, 'num_skip_connections': 0, 'num_convolutional_layers': 18, 'num_transformer_layers': 15, 'num_dense_layers': 7, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 21130440}",15,21,0,18,7,1.0,0.0,0.0,caformer_s18,85.424,42.019,76.09,55.857,58.413
caformer_s36.sail_in1k,ConvNeXt/Hybrid CNN-Transformer,224,39297000,"{'model_type': 'ConvNeXt/Hybrid CNN-Transformer', 'num_layers': 75, 'num_normalizations': 45, 'num_skip_connections': 0, 'num_convolutional_layers': 24, 'num_transformer_layers': 38, 'num_dense_layers': 8, 'final_receptive_field_size': -1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 23153752}",38,45,0,24,8,-1.0,0.0,0.0,caformer_s36,84.544,39.531,74.62,51.66,41.08
caformer_s36.sail_in1k_384,ConvMLP,384,39297000,"{'model_type': 'ConvMLP', 'num_layers': 63, 'num_normalizations': 51, 'num_skip_connections': 0, 'num_convolutional_layers': 23, 'num_transformer_layers': 0, 'num_dense_layers': 14, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 24304568}",0,51,0,23,14,0.0,0.0,0.0,caformer_s36,85.756,41.763,76.36,54.54,57.107
caformer_s36.sail_in22k,ConvNeXt-V2,224,82000209,"{'model_type': 'ConvNeXt-V2', 'num_layers': 70, 'num_normalizations': 40, 'num_skip_connections': 0, 'num_convolutional_layers': 26, 'num_transformer_layers': 0, 'num_dense_layers': 9, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 1, 'num_parameters': 68634561}",0,40,0,26,9,1.0,0.0,1.0,caformer_s36,,,,,
caformer_s36.sail_in22k_ft_in1k,ConvNeXt-V2,224,39297000,"{'model_type': 'ConvNeXt-V2', 'num_layers': 62, 'num_normalizations': 42, 'num_skip_connections': 0, 'num_convolutional_layers': 23, 'num_transformer_layers': 0, 'num_dense_layers': 10, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 21824480}",0,42,0,23,10,0.0,0.0,0.0,caformer_s36,85.788,46.708,76.74,60.697,55.547
caformer_s36.sail_in22k_ft_in1k_384,ConvNeXt-V2,384,39297000,"{'model_type': 'ConvNeXt-V2', 'num_layers': 73, 'num_normalizations': 34, 'num_skip_connections': 3, 'num_convolutional_layers': 24, 'num_transformer_layers': 36, 'num_dense_layers': 6, 'final_receptive_field_size': 1, 'num_strides': 4, 'num_max_pools': 0, 'num_parameters': 24939312}",36,34,3,24,6,1.0,4.0,0.0,caformer_s36,86.864,48.472,78.37,63.047,70.747
cait_m36_384.fb_dist_in1k,Vision Transformer,384,270719848,"{'model_type': 'Vision Transformer', 'num_layers': 40, 'num_normalizations': 40, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 38, 'num_dense_layers': 82, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 81669944}",38,40,0,1,82,1.0,0.0,0.0,cait_m36_384,86.064,42.396,76.37,57.407,57.667
cait_m48_448.fb_dist_in1k,Vision Transformer (ViT),448,355780840,"{'model_type': 'Vision Transformer (ViT)', 'num_layers': 52, 'num_normalizations': 52, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 50, 'num_dense_layers': 104, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 166118408}",50,52,0,1,104,0.0,0.0,0.0,cait_m48_448,86.482,44.247,76.84,57.43,62.08
cait_s24_224.fb_dist_in1k,Vision Transformer,224,46820584,"{'model_type': 'Vision Transformer', 'num_layers': 27, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 26, 'num_dense_layers': 54, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 184647016}",26,26,0,1,54,0.0,0.0,0.0,cait_s24_224,83.484,37.153,73.01,50.25,31.187
cait_s24_384.fb_dist_in1k,ViT,384,46820584,"{'model_type': 'ViT', 'num_layers': 27, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 26, 'num_dense_layers': 4, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 174478536}",26,26,0,1,4,0.0,0.0,0.0,cait_s24_384,85.042,37.916,75.38,51.727,49.427
cait_s36_384.fb_dist_in1k,Vision Transformer (ViT),384,68115880,"{'model_type': 'Vision Transformer (ViT)', 'num_layers': 72, 'num_normalizations': 76, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 38, 'num_dense_layers': 80, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 215748648}",38,76,0,1,80,0.0,0.0,0.0,cait_s36_384,85.458,39.769,76.01,53.52,54.213
cait_xs24_384.fb_dist_in1k,Transformer,384,26488936,"{'model_type': 'Transformer', 'num_layers': 68, 'num_normalizations': 28, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 26, 'num_dense_layers': 52, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 12976920}",26,28,0,1,52,0.0,0.0,0.0,cait_xs24_384,84.064,36.413,74.13,49.503,43.64
cait_xxs24_224.fb_dist_in1k,Vision Transformer (ViT),224,11908456,"{'model_type': 'Vision Transformer (ViT)', 'num_layers': 27, 'num_normalizations': 52, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 26, 'num_dense_layers': 60, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 62086512}",26,52,0,1,60,0.0,0.0,0.0,cait_xxs24_224,78.392,29.309,67.29,41.43,14.88
cait_xxs24_384.fb_dist_in1k,Vision Transformer (ViT),384,11908456,"{'model_type': 'Vision Transformer (ViT)', 'num_layers': 27, 'num_normalizations': 52, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 26, 'num_dense_layers': 54, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 66376280}",26,52,0,1,54,0.0,0.0,0.0,cait_xxs24_384,80.962,29.393,70.56,42.16,29.72
cait_xxs36_224.fb_dist_in1k,Vision Transformer (ViT),224,17247304,"{'model_type': 'Vision Transformer (ViT)', 'num_layers': 39, 'num_normalizations': 40, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 38, 'num_dense_layers': 80, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 12540968}",38,40,0,1,80,1.0,0.0,0.0,cait_xxs36_224,79.738,31.28,68.36,43.803,18.08
cait_xxs36_384.fb_dist_in1k,Vision Transformer,384,17247304,"{'model_type': 'Vision Transformer', 'num_layers': 38, 'num_normalizations': 40, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 38, 'num_dense_layers': 80, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 10383784}",38,40,0,1,80,0.0,0.0,0.0,cait_xxs36_384,82.208,32.549,72.13,44.767,36.093
coat_lite_medium.in1k,ConvNeXt/Hybrid Vision Transformer,224,44569832,"{'model_type': 'ConvNeXt/Hybrid Vision Transformer', 'num_layers': 37, 'num_normalizations': 41, 'num_skip_connections': 0, 'num_convolutional_layers': 22, 'num_transformer_layers': 32, 'num_dense_layers': 41, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 26319680}",32,41,0,22,41,0.0,0.0,0.0,coat_lite_medium,83.602,37.896,73.48,49.977,38.44
coat_lite_medium_384.in1k,Convolutional Vision Transformer (CvT),384,44569832,"{'model_type': 'Convolutional Vision Transformer (CvT)', 'num_layers': 40, 'num_normalizations': 33, 'num_skip_connections': 0, 'num_convolutional_layers': 19, 'num_transformer_layers': 29, 'num_dense_layers': 67, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 26316608}",29,33,0,19,67,1.0,0.0,0.0,coat_lite_medium_384,84.894,39.183,75.21,51.407,48.84
coat_lite_mini.in1k,Hybrid Convolutional Transformer,224,11010536,"{'model_type': 'Hybrid Convolutional Transformer', 'num_layers': 42, 'num_normalizations': 12, 'num_skip_connections': 0, 'num_convolutional_layers': 22, 'num_transformer_layers': 8, 'num_dense_layers': 17, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 126708288}",8,12,0,22,17,0.0,0.0,0.0,coat_lite_mini,79.096,29.403,67.74,40.3,14.4
coat_lite_small.in1k,CNN/Transformer Hybrid,224,19837480,"{'model_type': 'CNN/Transformer Hybrid', 'num_layers': 40, 'num_normalizations': 20, 'num_skip_connections': 0, 'num_convolutional_layers': 22, 'num_transformer_layers': 15, 'num_dense_layers': 25, 'final_receptive_field_size': None, 'num_strides': None, 'num_max_pools': 0, 'num_parameters': 205273128}",15,20,0,22,25,,,0.0,coat_lite_small,82.302,32.127,71.03,43.803,27.667
coat_lite_tiny.in1k,Conv-augmented Transformer,224,5721192,"{'model_type': 'Conv-augmented Transformer', 'num_layers': 46, 'num_normalizations': 20, 'num_skip_connections': 0, 'num_convolutional_layers': 20, 'num_transformer_layers': 8, 'num_dense_layers': 10, 'final_receptive_field_size': None, 'num_strides': None, 'num_max_pools': 0, 'num_parameters': 73200844}",8,20,0,20,10,,,0.0,coat_lite_tiny,77.548,26.554,66.24,38.077,12.253
coat_mini.in1k,CNN-Transformer Hybrid,224,10336204,"{'model_type': 'CNN-Transformer Hybrid', 'num_layers': 78, 'num_normalizations': 33, 'num_skip_connections': 0, 'num_convolutional_layers': 20, 'num_transformer_layers': 16, 'num_dense_layers': 38, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 9418004}",16,33,0,20,38,1.0,0.0,0.0,coat_mini,81.304,31.209,70.51,40.323,25.72
coat_small.in1k,Unknown,224,21692796,"{'model_type': 'Unknown', 'num_layers': 102, 'num_normalizations': 61, 'num_skip_connections': 0, 'num_convolutional_layers': 25, 'num_transformer_layers': 12, 'num_dense_layers': 30, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 13980454}",12,61,0,25,30,1.0,0.0,0.0,coat_small,82.376,35.515,72.0,46.93,34.147
coat_tiny.in1k,Hybrid Convolutional Transformer,224,5497932,"{'model_type': 'Hybrid Convolutional Transformer', 'num_layers': 64, 'num_normalizations': 39, 'num_skip_connections': 0, 'num_convolutional_layers': 21, 'num_transformer_layers': 18, 'num_dense_layers': 33, 'final_receptive_field_size': None, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 3236888}",18,39,0,21,33,,0.0,0.0,coat_tiny,78.442,25.866,67.22,36.097,15.467
coatnet_0_rw_224.sw_in1k,Hybrid CNN/Transformer,224,27423978,"{'model_type': 'Hybrid CNN/Transformer', 'num_layers': 130, 'num_normalizations': 41, 'num_skip_connections': 14, 'num_convolutional_layers': 50, 'num_transformer_layers': 16, 'num_dense_layers': 1, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 21531112}",16,41,14,50,1,0.0,0.0,0.0,coatnet_0_rw_224,82.394,31.284,71.35,42.807,26.973
coatnet_1_rw_224.sw_in1k,Hybrid CNN-Transformer,224,41699550,"{'model_type': 'Hybrid CNN-Transformer', 'num_layers': 151, 'num_normalizations': 41, 'num_skip_connections': 22, 'num_convolutional_layers': 46, 'num_transformer_layers': 16, 'num_dense_layers': 1, 'final_receptive_field_size': None, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 31158416}",16,41,22,46,1,,0.0,0.0,coatnet_1_rw_224,83.612,34.864,72.68,46.417,35.693
coatnet_2_rw_224.sw_in12k,CNN/Vision Transformer Hybrid,224,84929845,"{'model_type': 'CNN/Vision Transformer Hybrid', 'num_layers': 147, 'num_normalizations': 44, 'num_skip_connections': 16, 'num_convolutional_layers': 74, 'num_transformer_layers': 16, 'num_dense_layers': 1, 'final_receptive_field_size': None, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 83932981}",16,44,16,74,1,,0.0,0.0,coatnet_2_rw_224,,,,,
coatnet_2_rw_224.sw_in12k_ft_in1k,ConvNeXt,224,73838320,"{'model_type': 'ConvNeXt', 'num_layers': 147, 'num_normalizations': 46, 'num_skip_connections': 18, 'num_convolutional_layers': 92, 'num_transformer_layers': 0, 'num_dense_layers': 1, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 42747448}",0,46,18,92,1,0.0,0.0,0.0,coatnet_2_rw_224,86.58,48.763,77.1,61.2,60.16
coatnet_3_rw_224.sw_in12k,Hybrid CNN-Transformer,224,181760185,"{'model_type': 'Hybrid CNN-Transformer', 'num_layers': 4, 'num_normalizations': 82, 'num_skip_connections': 19, 'num_convolutional_layers': 63, 'num_transformer_layers': 20, 'num_dense_layers': 1, 'final_receptive_field_size': -1, 'num_strides': -1, 'num_max_pools': 0, 'num_parameters': 149940439}",20,82,19,63,1,-1.0,-1.0,0.0,coatnet_3_rw_224,,,,,
coatnet_bn_0_rw_224.sw_in1k,Hybrid CNN/Transformer,224,27423978,"{'model_type': 'Hybrid CNN/Transformer', 'num_layers': 127, 'num_normalizations': 34, 'num_skip_connections': 12, 'num_convolutional_layers': 54, 'num_transformer_layers': 6, 'num_dense_layers': 1, 'final_receptive_field_size': 32, 'num_strides': 4, 'num_max_pools': 0, 'num_parameters': 31813680}",6,34,12,54,1,32.0,4.0,0.0,coatnet_bn_0_rw_224,82.394,31.883,71.59,44.81,27.013
